antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,segment,antecedents_str,consequents_str,rule
frozenset({'UrbanVN RP-14'}),frozenset({'UrbanVN RP-13'}),0.001486518812151864,0.0015036052352800464,0.0014352595427673171,0.9655172413793104,642.1347962382446,1.0,0.0014330244052990233,28.956395448176913,0.9999291080076173,0.9230769230769234,0.9654653148459139,0.9600313479623825,Activewear,UrbanVN RP-14,UrbanVN RP-13,UrbanVN RP-14 → UrbanVN RP-13
frozenset({'UrbanVN RP-13'}),frozenset({'UrbanVN RP-14'}),0.0015036052352800464,0.001486518812151864,0.0014352595427673171,0.9545454545454546,642.1347962382446,1.0,0.0014330244052990233,21.96729658613268,0.9999462189475538,0.9230769230769234,0.9544777849163619,0.9600313479623825,Activewear,UrbanVN RP-13,UrbanVN RP-14,UrbanVN RP-13 → UrbanVN RP-14
frozenset({'VietMode RP-20'}),frozenset({'VietMode RP-19'}),0.0016573830434336875,0.00167446946656187,0.0016232101971773228,0.979381443298969,584.8905954134231,1.0,0.0016204349598766957,48.418788230871655,0.9999475746992976,0.9499999999999998,0.9793468602470641,0.9743845992005049,Activewear,VietMode RP-20,VietMode RP-19,VietMode RP-20 → VietMode RP-19
frozenset({'VietMode RP-19'}),frozenset({'VietMode RP-20'}),0.00167446946656187,0.0016573830434336875,0.0016232101971773228,0.9693877551020408,584.8905954134231,1.0,0.0016204349598766957,32.6125254872478,0.9999646888838445,0.9499999999999998,0.9693369346574824,0.9743845992005049,Activewear,VietMode RP-19,VietMode RP-20,VietMode RP-19 → VietMode RP-20
frozenset({'VietMode RP-86'}),frozenset({'VietMode RP-85'}),0.0016573830434336875,0.00167446946656187,0.0015890373509209583,0.9587628865979382,572.5771091941932,1.0,0.0015862621136203312,24.209394115435895,0.9999107454557935,0.9117647058823529,0.9586937204941284,0.9538712392173365,Activewear,VietMode RP-86,VietMode RP-85,VietMode RP-86 → VietMode RP-85
frozenset({'VietMode RP-85'}),frozenset({'VietMode RP-86'}),0.00167446946656187,0.0016573830434336875,0.0015890373509209583,0.9489795918367347,572.5771091941932,1.0,0.0015862621136203312,19.56751529234872,0.9999278590100048,0.9117647058823529,0.948894891095804,0.9538712392173365,Activewear,VietMode RP-85,VietMode RP-86,VietMode RP-85 → VietMode RP-86
frozenset({'VietMode RP-00'}),frozenset({'VietMode RP-99'}),0.0018453336978436934,0.0018624201209718758,0.0018111608515873287,0.9814814814814814,526.9925246347265,1.0,0.0018077240649785572,53.89942931346727,0.9999476770212334,0.9549549549549547,0.9814469278666343,0.9769792728508324,Activewear,VietMode RP-00,VietMode RP-99,VietMode RP-00 → VietMode RP-99
frozenset({'VietMode RP-99'}),frozenset({'VietMode RP-00'}),0.0018624201209718758,0.0018453336978436934,0.0018111608515873287,0.9724770642201834,526.9925246347265,1.0,0.0018077240649785572,36.26628620897827,0.999964794430156,0.9549549549549547,0.9724261813234013,0.9769792728508324,Activewear,VietMode RP-99,VietMode RP-00,VietMode RP-99 → VietMode RP-00
frozenset({'MekongFit RP-27'}),frozenset({'MekongFit RP-28'}),0.0019991115059973343,0.0019991115059973343,0.00196493865974097,0.9829059829059831,491.67141500474844,1.0,0.001960942212927559,58.38305197689974,0.9999651632007277,0.9663865546218491,0.9828717416075531,0.9829059829059831,Activewear,MekongFit RP-27,MekongFit RP-28,MekongFit RP-27 → MekongFit RP-28
frozenset({'MekongFit RP-28'}),frozenset({'MekongFit RP-27'}),0.0019991115059973343,0.0019991115059973343,0.00196493865974097,0.9829059829059831,491.67141500474844,1.0,0.001960942212927559,58.38305197689974,0.9999651632007277,0.9663865546218491,0.9828717416075531,0.9829059829059831,Activewear,MekongFit RP-28,MekongFit RP-27,MekongFit RP-28 → MekongFit RP-27
frozenset({'VietMode RP-16'}),frozenset({'VietMode RP-15'}),0.0019991115059973343,0.0019991115059973343,0.001930765813484605,0.9658119658119658,483.1206077872745,1.0,0.0019267693666711941,29.191525988449587,0.9999290932404191,0.9338842975206614,0.9657434832151057,0.9658119658119658,Activewear,VietMode RP-16,VietMode RP-15,VietMode RP-16 → VietMode RP-15
frozenset({'VietMode RP-15'}),frozenset({'VietMode RP-16'}),0.0019991115059973343,0.0019991115059973343,0.001930765813484605,0.9658119658119658,483.1206077872745,1.0,0.0019267693666711941,29.191525988449587,0.9999290932404191,0.9338842975206614,0.9657434832151057,0.9658119658119658,Activewear,VietMode RP-15,VietMode RP-16,VietMode RP-15 → VietMode RP-16
frozenset({'VietMode RP-24'}),frozenset({'VietMode RP-23'}),0.002204148583535523,0.002204148583535523,0.002204148583535523,1.0,453.6899224806201,1.0,0.002199290312557221,inf,1.0,1.0,1.0,1.0,Activewear,VietMode RP-24,VietMode RP-23,VietMode RP-24 → VietMode RP-23
frozenset({'VietMode RP-23'}),frozenset({'VietMode RP-24'}),0.002204148583535523,0.002204148583535523,0.002204148583535523,1.0,453.6899224806201,1.0,0.002199290312557221,inf,1.0,1.0,1.0,1.0,Activewear,VietMode RP-23,VietMode RP-24,VietMode RP-23 → VietMode RP-24
frozenset({'UrbanVN RP-42'}),frozenset({'UrbanVN RP-41'}),0.0021187164678946107,0.0021358028910227933,0.0020503707753818817,0.9677419354838711,453.10451612903233,1.0,0.0020458456146244947,30.93379011037843,0.9999115327100669,0.9302325581395349,0.9676728911513337,0.9638709677419356,Activewear,UrbanVN RP-42,UrbanVN RP-41,UrbanVN RP-42 → UrbanVN RP-41
frozenset({'UrbanVN RP-41'}),frozenset({'UrbanVN RP-42'}),0.0021358028910227933,0.0021187164678946107,0.0020503707753818817,0.9600000000000001,453.10451612903233,1.0,0.0020458456146244947,24.94703208830268,0.9999286541897113,0.9302325581395349,0.9599150714016644,0.9638709677419356,Activewear,UrbanVN RP-41,UrbanVN RP-42,UrbanVN RP-41 → UrbanVN RP-42
frozenset({'MekongFit RP-15'}),frozenset({'MekongFit RP-16'}),0.002375012814817346,0.0023920992379455287,0.002375012814817346,1.0,418.0428571428571,1.0,0.002369331548472911,inf,0.9999828728997894,0.9928571428571429,1.0,0.9964285714285714,Activewear,MekongFit RP-15,MekongFit RP-16,MekongFit RP-15 → MekongFit RP-16
frozenset({'MekongFit RP-16'}),frozenset({'MekongFit RP-15'}),0.0023920992379455287,0.002375012814817346,0.002375012814817346,0.9928571428571428,418.0428571428571,1.0,0.002369331548472911,139.6674982059239,1.0,0.9928571428571429,0.9928401380933621,0.9964285714285714,Activewear,MekongFit RP-16,MekongFit RP-15,MekongFit RP-16 → MekongFit RP-15
frozenset({'MekongFit RP-35'}),frozenset({'MekongFit RP-36'}),0.002375012814817346,0.0023920992379455287,0.002357926391689164,0.9928057553956835,415.035354573484,1.0,0.0023522451253447287,138.66749820592645,0.999965497580735,0.9787234042553193,0.9927885047834716,0.9892600205549846,Activewear,MekongFit RP-35,MekongFit RP-36,MekongFit RP-35 → MekongFit RP-36
frozenset({'MekongFit RP-36'}),frozenset({'MekongFit RP-35'}),0.0023920992379455287,0.002375012814817346,0.002357926391689164,0.9857142857142857,415.035354573484,1.0,0.0023522451253447287,69.83374910296249,0.999982624383352,0.9787234042553193,0.9856802761867245,0.9892600205549846,Activewear,MekongFit RP-36,MekongFit RP-35,MekongFit RP-36 → MekongFit RP-35
frozenset({'UrbanVN RP-23'}),frozenset({'UrbanVN RP-24'}),0.0023408399685609814,0.002323753545432799,0.0022383214297918876,0.956204379562044,411.49130528123663,1.0,0.002232881894615653,22.780274294046038,0.9999104453298808,0.9225352112676057,0.9561023722940261,0.9597198368398455,Activewear,UrbanVN RP-23,UrbanVN RP-24,UrbanVN RP-23 → UrbanVN RP-24
frozenset({'UrbanVN RP-24'}),frozenset({'UrbanVN RP-23'}),0.002323753545432799,0.0023408399685609814,0.0022383214297918876,0.9632352941176471,411.4913052812366,1.0,0.002232881894615653,27.136329152855158,0.9998933206433707,0.9225352112676057,0.9631490318986352,0.9597198368398455,Activewear,UrbanVN RP-24,UrbanVN RP-23,UrbanVN RP-24 → UrbanVN RP-23
frozenset({'UrbanVN RP-56'}),frozenset({'UrbanVN RP-55'}),0.0023066671223046166,0.0023408399685609814,0.002204148583535523,0.9555555555555557,408.2105433901055,1.0,0.0021987490449414666,22.44733110070746,0.9998566201465423,0.9020979020979021,0.9554512741174614,0.9485806974858071,Activewear,UrbanVN RP-56,UrbanVN RP-55,UrbanVN RP-56 → UrbanVN RP-55
frozenset({'UrbanVN RP-55'}),frozenset({'UrbanVN RP-56'}),0.0023408399685609814,0.0023066671223046166,0.002204148583535523,0.9416058394160585,408.2105433901055,1.0,0.0021987490449414666,17.085498325530555,0.9998908682624594,0.9020979020979021,0.9414708321087879,0.9485806974858071,Activewear,UrbanVN RP-55,UrbanVN RP-56,UrbanVN RP-55 → UrbanVN RP-56
frozenset({'MekongFit RP-56'}),frozenset({'MekongFit RP-55'}),0.0024433585073300756,0.0024433585073300756,0.002375012814817346,0.972027972027972,397.8245390972663,1.0,0.002369042814022004,35.66264993336288,0.9999295153055913,0.945578231292517,0.9719594589334067,0.972027972027972,Activewear,MekongFit RP-56,MekongFit RP-55,MekongFit RP-56 → MekongFit RP-55
frozenset({'MekongFit RP-55'}),frozenset({'MekongFit RP-56'}),0.0024433585073300756,0.0024433585073300756,0.002375012814817346,0.972027972027972,397.8245390972663,1.0,0.002369042814022004,35.66264993336288,0.9999295153055913,0.945578231292517,0.9719594589334067,0.972027972027972,Activewear,MekongFit RP-55,MekongFit RP-56,MekongFit RP-55 → MekongFit RP-56
frozenset({'VietMode RP-05'}),frozenset({'VietMode RP-06'}),0.0024775313535864403,0.0024775313535864403,0.002426272084201893,0.979310344827586,395.27667063020203,1.0,0.002420133922593889,48.213585984576305,0.9999475277867509,0.9594594594594592,0.9792589582463354,0.979310344827586,Activewear,VietMode RP-05,VietMode RP-06,VietMode RP-05 → VietMode RP-06
frozenset({'VietMode RP-06'}),frozenset({'VietMode RP-05'}),0.0024775313535864403,0.0024775313535864403,0.002426272084201893,0.979310344827586,395.27667063020203,1.0,0.002420133922593889,48.213585984576305,0.9999475277867509,0.9594594594594592,0.9792589582463354,0.979310344827586,Activewear,VietMode RP-06,VietMode RP-05,VietMode RP-06 → VietMode RP-05
frozenset({'VietMode RP-41'}),frozenset({'VietMode RP-42'}),0.0024946177767146225,0.0025287906229709872,0.0024433585073300756,0.9794520547945206,387.32034431691966,1.0,0.002437050141288423,48.543598856348815,0.9999125574665143,0.9470198675496692,0.9793999616106086,0.9728341355053685,Activewear,VietMode RP-41,VietMode RP-42,VietMode RP-41 → VietMode RP-42
frozenset({'VietMode RP-42'}),frozenset({'VietMode RP-41'}),0.0025287906229709872,0.0024946177767146225,0.0024433585073300756,0.9662162162162162,387.32034431691966,1.0,0.002437050141288423,29.526159313809256,0.99994681395209,0.9470198675496692,0.9661317278223753,0.9728341355053685,Activewear,VietMode RP-42,VietMode RP-41,VietMode RP-42 → VietMode RP-41
frozenset({'UrbanVN RP-34'}),frozenset({'UrbanVN RP-33'}),0.0028363462392782695,0.0028363462392782695,0.0027850869698937226,0.9819277108433735,346.19458557120043,1.0,0.002777042109904655,55.17638884142659,0.9999476488224139,0.9644970414201184,0.9818763057714064,0.9819277108433735,Activewear,UrbanVN RP-34,UrbanVN RP-33,UrbanVN RP-34 → UrbanVN RP-33
frozenset({'UrbanVN RP-33'}),frozenset({'UrbanVN RP-34'}),0.0028363462392782695,0.0028363462392782695,0.0027850869698937226,0.9819277108433735,346.19458557120043,1.0,0.002777042109904655,55.17638884142659,0.9999476488224139,0.9644970414201184,0.9818763057714064,0.9819277108433735,Activewear,UrbanVN RP-33,UrbanVN RP-34,UrbanVN RP-33 → UrbanVN RP-34
frozenset({'MekongFit RP-52'}),frozenset({'MekongFit RP-51'}),0.0028192598161500874,0.0028021733930219048,0.0026825684311246284,0.9515151515151514,339.5632668144863,1.0,0.0026746683762797967,20.567205173768883,0.9998739451363394,0.9127906976744184,0.9513789067813946,0.9544161123429415,Activewear,MekongFit RP-52,MekongFit RP-51,MekongFit RP-52 → MekongFit RP-51
frozenset({'MekongFit RP-51'}),frozenset({'MekongFit RP-52'}),0.0028021733930219048,0.0028192598161500874,0.0026825684311246284,0.9573170731707317,339.56326681448627,1.0,0.0026746683762797967,23.362520198593035,0.9998568128594275,0.9127906976744184,0.9571963986975933,0.9544161123429415,Activewear,MekongFit RP-51,MekongFit RP-52,MekongFit RP-51 → MekongFit RP-52
frozenset({'VietMode RP-21'}),frozenset({'VietMode RP-22'}),0.003143901855585552,0.003143901855585552,0.003109729009329187,0.9891304347826086,314.61873818525515,1.0,0.0030998448904516326,91.71076102928572,0.9999653426687124,0.978494623655914,0.9890961541614438,0.9891304347826086,Activewear,VietMode RP-21,VietMode RP-22,VietMode RP-21 → VietMode RP-22
frozenset({'VietMode RP-22'}),frozenset({'VietMode RP-21'}),0.003143901855585552,0.003143901855585552,0.003109729009329187,0.9891304347826086,314.61873818525515,1.0,0.0030998448904516326,91.71076102928572,0.9999653426687124,0.978494623655914,0.9890961541614438,0.9891304347826086,Activewear,VietMode RP-22,VietMode RP-21,VietMode RP-22 → VietMode RP-21
frozenset({'HanoiStreet RP-77'}),frozenset({'HanoiStreet RP-78'}),0.003092642586201005,0.003126815432457369,0.0030413833168164576,0.9834254143646408,314.51341967816927,1.0,0.0030317131942508495,60.14468213557482,0.999912858519789,0.9569892473118279,0.9833734261368968,0.9780515049965282,Activewear,HanoiStreet RP-77,HanoiStreet RP-78,HanoiStreet RP-77 → HanoiStreet RP-78
frozenset({'HanoiStreet RP-78'}),frozenset({'HanoiStreet RP-77'}),0.003126815432457369,0.003092642586201005,0.0030413833168164576,0.9726775956284154,314.51341967816927,1.0,0.0030317131942508495,36.48680928134515,0.9999471355661704,0.9569892473118279,0.9725928350629641,0.9780515049965282,Activewear,HanoiStreet RP-78,HanoiStreet RP-77,HanoiStreet RP-78 → HanoiStreet RP-77
frozenset({'VietMode RP-40'}),frozenset({'VietMode RP-39'}),0.003126815432457369,0.003143901855585552,0.0030755561630728223,0.9836065573770493,312.8617248752673,1.0,0.003065725762232646,60.80822198680963,0.9999302972650247,0.962566844919786,0.9835548554566039,0.9809337134711333,Activewear,VietMode RP-40,VietMode RP-39,VietMode RP-40 → VietMode RP-39
frozenset({'VietMode RP-39'}),frozenset({'VietMode RP-40'}),0.003143901855585552,0.003126815432457369,0.0030755561630728223,0.9782608695652174,312.8617248752673,1.0,0.003065725762232646,45.85616649010699,0.9999474363808806,0.962566844919786,0.9781926821070893,0.9809337134711333,Activewear,VietMode RP-39,VietMode RP-40,VietMode RP-39 → VietMode RP-40
frozenset({'VietMode RP-35'}),frozenset({'VietMode RP-36'}),0.003297679663739193,0.003297679663739193,0.003263506817482828,0.9896373056994818,300.10110338532576,1.0,0.003252632126318189,96.18177391244883,0.9999653550750282,0.9794871794871794,0.9896030197892767,0.9896373056994818,Activewear,VietMode RP-35,VietMode RP-36,VietMode RP-35 → VietMode RP-36
frozenset({'VietMode RP-36'}),frozenset({'VietMode RP-35'}),0.003297679663739193,0.003297679663739193,0.003263506817482828,0.9896373056994818,300.10110338532576,1.0,0.003252632126318189,96.18177391244883,0.9999653550750282,0.9794871794871794,0.9896030197892767,0.9896373056994818,Activewear,VietMode RP-36,VietMode RP-35,VietMode RP-36 → VietMode RP-35
frozenset({'UrbanVN RP-02'}),frozenset({'UrbanVN RP-01'}),0.0032805932406110103,0.00334893893312374,0.0032464203943546456,0.9895833333333334,295.4916028911565,1.0,0.0032354338879274206,95.67850186242046,0.9998960613382464,0.9595959595959596,0.9895483313332191,0.9794855442176871,Activewear,UrbanVN RP-02,UrbanVN RP-01,UrbanVN RP-02 → UrbanVN RP-01
frozenset({'UrbanVN RP-01'}),frozenset({'UrbanVN RP-02'}),0.00334893893312374,0.0032805932406110103,0.0032464203943546456,0.9693877551020408,295.49160289115645,1.0,0.0032354338879274206,32.55950062080667,0.9999646295577792,0.9595959595959596,0.9692869982360551,0.9794855442176871,Activewear,UrbanVN RP-01,UrbanVN RP-02,UrbanVN RP-01 → UrbanVN RP-02
frozenset({'UrbanVN RP-12'}),frozenset({'UrbanVN RP-11'}),0.003297679663739193,0.00334893893312374,0.0032122475480982813,0.9740932642487047,290.86623665010046,1.0,0.0032012038202834147,38.47073095718145,0.9998592089219233,0.9353233830845773,0.9740062126422028,0.9666384688590463,Activewear,UrbanVN RP-12,UrbanVN RP-11,UrbanVN RP-12 → UrbanVN RP-11
frozenset({'UrbanVN RP-11'}),frozenset({'UrbanVN RP-12'}),0.00334893893312374,0.003297679663739193,0.0032122475480982813,0.9591836734693878,290.86623665010046,1.0,0.0032012038202834147,24.419206848238428,0.9999106331911976,0.9353233830845773,0.9590486289659265,0.9666384688590463,Activewear,UrbanVN RP-11,UrbanVN RP-12,UrbanVN RP-11 → UrbanVN RP-12
frozenset({'VietMode RP-45'}),frozenset({'VietMode RP-46'}),0.0034172846256364693,0.003485630318149199,0.0033660253562519224,0.985,282.5887745098039,1.0,0.0033541139653550586,66.43429131212334,0.9998781572714609,0.9516908212560387,0.9849475326634889,0.975343137254902,Activewear,VietMode RP-45,VietMode RP-46,VietMode RP-45 → VietMode RP-46
frozenset({'VietMode RP-46'}),frozenset({'VietMode RP-45'}),0.003485630318149199,0.0034172846256364693,0.0033660253562519224,0.9656862745098039,282.5887745098039,1.0,0.0033541139653550586,29.043267705195746,0.9999467336685165,0.9516908212560387,0.9655686126592049,0.975343137254902,Activewear,VietMode RP-46,VietMode RP-45,VietMode RP-46 → VietMode RP-45
frozenset({'MekongFit RP-49'}),frozenset({'MekongFit RP-50'}),0.003605235280046475,0.00363940812630284,0.003605235280046475,1.0,274.7699530516432,1.0,0.00359211435747104,inf,0.9999657035068165,0.9906103286384975,1.0,0.9953051643192488,Activewear,MekongFit RP-49,MekongFit RP-50,MekongFit RP-49 → MekongFit RP-50
frozenset({'MekongFit RP-50'}),frozenset({'MekongFit RP-49'}),0.00363940812630284,0.003605235280046475,0.003605235280046475,0.9906103286384976,274.7699530516432,1.0,0.00359211435747104,106.11604244267477,0.9999999999999999,0.9906103286384975,0.9905763541781138,0.9953051643192488,Activewear,MekongFit RP-50,MekongFit RP-49,MekongFit RP-50 → MekongFit RP-49
frozenset({'VietMode RP-75'}),frozenset({'VietMode RP-76'}),0.003605235280046475,0.003605235280046475,0.0035368895875337457,0.981042654028436,272.116124974731,1.0,0.003523891866109254,52.55982383897762,0.9999300815452974,0.9627906976744186,0.9809740610420689,0.981042654028436,Activewear,VietMode RP-75,VietMode RP-76,VietMode RP-75 → VietMode RP-76
frozenset({'VietMode RP-76'}),frozenset({'VietMode RP-75'}),0.003605235280046475,0.003605235280046475,0.0035368895875337457,0.981042654028436,272.116124974731,1.0,0.003523891866109254,52.55982383897762,0.9999300815452974,0.9627906976744186,0.9809740610420689,0.981042654028436,Activewear,VietMode RP-76,VietMode RP-75,VietMode RP-76 → VietMode RP-75
frozenset({'HanoiStreet RP-33'}),frozenset({'HanoiStreet RP-34'}),0.003690667395687387,0.0037419266650719337,0.0036735809725592043,0.9953703703703703,266.0047776086589,1.0,0.00365977076581937,215.19174384034352,0.9999310820673784,0.9772727272727273,0.9953529815681873,0.988552765093861,Activewear,HanoiStreet RP-33,HanoiStreet RP-34,HanoiStreet RP-33 → HanoiStreet RP-34
frozenset({'HanoiStreet RP-34'}),frozenset({'HanoiStreet RP-33'}),0.0037419266650719337,0.003690667395687387,0.0036735809725592043,0.9817351598173516,266.0047776086589,1.0,0.00365977076581937,54.54793596008612,0.9999825303196671,0.9772727272727273,0.981667500659755,0.988552765093861,Activewear,HanoiStreet RP-34,HanoiStreet RP-33,HanoiStreet RP-34 → HanoiStreet RP-33
frozenset({'VietMode RP-81'}),frozenset({'VietMode RP-82'}),0.003656494549431022,0.0037419266650719337,0.00363940812630284,0.9953271028037384,265.9932146972219,1.0,0.0036257257918476337,213.19922769367713,0.9998966221530031,0.9681818181818183,0.9953095514893854,0.9839649212648829,Activewear,VietMode RP-81,VietMode RP-82,VietMode RP-81 → VietMode RP-82
frozenset({'VietMode RP-82'}),frozenset({'VietMode RP-81'}),0.0037419266650719337,0.003656494549431022,0.00363940812630284,0.9726027397260275,265.9932146972219,1.0,0.0036257257918476337,36.36653794894592,0.99998236628511,0.9681818181818183,0.9725021941488113,0.9839649212648829,Activewear,VietMode RP-82,VietMode RP-81,VietMode RP-82 → VietMode RP-81
frozenset({'VietMotion RP-37'}),frozenset({'VietMotion RP-38'}),0.0038102723575846632,0.003793185934456481,0.003656494549431022,0.9596412556053812,252.99082939441683,1.0,0.0036420414779177834,24.68379105962402,0.9998570151004557,0.9264069264069263,0.9594875844806624,0.9618026097846726,Activewear,VietMotion RP-37,VietMotion RP-38,VietMotion RP-37 → VietMotion RP-38
frozenset({'VietMotion RP-38'}),frozenset({'VietMotion RP-37'}),0.003793185934456481,0.0038102723575846632,0.003656494549431022,0.9639639639639639,252.9908293944168,1.0,0.0036420414779177834,27.644264942076965,0.9998398660709705,0.9264069264069263,0.9638261316734121,0.9618026097846726,Activewear,VietMotion RP-38,VietMotion RP-37,VietMotion RP-38 → VietMotion RP-37
frozenset({'VietMode RP-32'}),frozenset({'VietMode RP-31'}),0.003912790896353757,0.003946963742610122,0.0038786180500973927,0.9912663755458516,251.146562316868,1.0,0.0038631744062970694,114.04807265147232,0.999930781304514,0.9742489270386269,0.9912317676506821,0.9869751791149171,Activewear,VietMode RP-32,VietMode RP-31,VietMode RP-32 → VietMode RP-31
frozenset({'VietMode RP-31'}),frozenset({'VietMode RP-32'}),0.003946963742610122,0.003912790896353757,0.0038786180500973927,0.9826839826839826,251.146562316868,1.0,0.0038631744062970694,57.5240363257353,0.9999650871894545,0.9742489270386269,0.9826159625806262,0.9869751791149171,Activewear,VietMode RP-31,VietMode RP-32,VietMode RP-31 → VietMode RP-32
frozenset({'VietMode RP-87'}),frozenset({'VietMode RP-88'}),0.0038786180500973927,0.003946963742610122,0.003844445203841028,0.9911894273127753,251.12706676583326,1.0,0.0038291364390258603,113.05201961521287,0.9998961674585614,0.9656652360515018,0.9911545145022298,0.9826077006693746,Activewear,VietMode RP-87,VietMode RP-88,VietMode RP-87 → VietMode RP-88
frozenset({'VietMode RP-88'}),frozenset({'VietMode RP-87'}),0.003946963742610122,0.0038786180500973927,0.003844445203841028,0.974025974025974,251.12706676583326,1.0,0.0038291364390258603,38.35067320507124,0.9999647768533608,0.9656652360515018,0.9739248384336636,0.9826077006693746,Activewear,VietMode RP-88,VietMode RP-87,VietMode RP-88 → VietMode RP-87
