customer_id,Recency,Frequency,Monetary,R_Rank,F_Rank,M_Rank,R_Score,F_Score,M_Score,Segment
161,569,3,124095.61,22421.0,34108.0,42394.0,Low,High,High,Key Loyal Customer
162,893,2,15562.27,13096.0,22924.0,10557.0,Low,Low,Low,Lost
163,241,5,110495.28,35471.0,44141.0,40668.0,High,High,High,Key Valuable Customer
166,675,2,57400.29,17594.0,22924.0,29051.0,Low,Low,High,Key At Risk Customer
167,144,5,133031.22,42283.0,44141.0,43295.0,High,High,High,Key Valuable Customer
168,551,3,25221.21,23267.0,34108.0,15963.0,Low,High,Low,General Loyal Customer
169,172,6,160456.45,40483.0,46492.0,45500.0,High,High,High,Key Valuable Customer
170,178,5,90608.57999999999,40198.0,44141.0,37390.0,High,High,High,Key Valuable Customer
172,69,3,113516.06,46595.0,34108.0,41092.0,High,High,High,Key Valuable Customer
173,183,4,91958.34,39936.0,40491.0,37673.0,High,High,High,Key Valuable Customer
176,244,1,10252.28,35297.0,1.0,6909.0,High,Low,Low,General Potential Customer
177,202,1,18961.5,38336.0,1.0,12555.0,High,Low,Low,General Potential Customer
179,184,2,21385.0,39827.0,22924.0,13875.0,High,Low,Low,General Potential Customer
180,150,5,81818.75,41984.0,44141.0,35542.0,High,High,High,Key Valuable Customer
181,232,3,185541.05,35982.0,34108.0,46922.0,High,High,High,Key Valuable Customer
182,1342,1,63915.81,2223.0,1.0,31028.0,Low,Low,High,Key At Risk Customer
184,963,2,107893.34,10820.0,22924.0,40298.0,Low,Low,High,Key At Risk Customer
185,63,5,129739.12,46945.0,44141.0,42973.0,High,High,High,Key Valuable Customer
191,528,1,2390.51,24239.0,1.0,806.0,Low,Low,Low,Lost
192,114,2,102329.07999999999,44242.0,22924.0,39460.0,High,Low,High,Key Potential Customer
193,934,2,27870.019999999997,11863.0,22924.0,17334.0,Low,Low,Low,Lost
195,1370,1,30755.83,1498.0,1.0,18707.0,Low,Low,Low,Lost
197,58,2,57973.13,47216.0,22924.0,29250.0,High,Low,High,Key Potential Customer
223,859,1,21204.84,14078.0,1.0,13764.0,Low,Low,Low,Lost
225,1111,1,7014.08,7351.0,1.0,4388.0,Low,Low,Low,Lost
229,243,2,171329.58000000002,35364.0,22924.0,46177.0,High,Low,High,Key Potential Customer
232,464,2,101392.59,26650.0,22924.0,39319.0,High,Low,High,Key Potential Customer
235,265,1,25062.4,33675.0,1.0,15861.0,High,Low,Low,General Potential Customer
236,1241,2,25705.559999999998,5041.0,22924.0,16234.0,Low,Low,Low,Lost
238,246,1,24971.76,35123.0,1.0,15803.0,High,Low,Low,General Potential Customer
241,193,1,12990.93,39007.0,1.0,8950.0,High,Low,Low,General Potential Customer
242,825,1,12226.52,15023.0,1.0,8405.0,Low,Low,Low,Lost
245,616,2,102058.14,20071.0,22924.0,39411.0,Low,Low,High,Key At Risk Customer
246,241,2,16314.0,35471.0,22924.0,11011.0,High,Low,Low,General Potential Customer
247,693,1,47028.0,17249.0,1.0,25516.0,Low,Low,High,Key At Risk Customer
252,986,1,3198.73,9993.0,1.0,1292.0,Low,Low,Low,Lost
257,903,2,14760.55,12829.0,22924.0,10060.0,Low,Low,Low,Lost
258,254,1,9022.8,34484.0,1.0,5970.0,High,Low,Low,General Potential Customer
259,627,2,29869.0,19600.0,22924.0,18271.0,Low,Low,Low,Lost
267,899,1,29002.01,12927.0,1.0,17856.0,Low,Low,Low,Lost
276,741,1,25731.7,16447.0,1.0,16252.0,Low,Low,Low,Lost
279,70,3,29291.64,46543.0,34108.0,17987.0,High,High,Low,General Valuable Customer
281,587,2,117657.86,21457.0,22924.0,41636.0,Low,Low,High,Key At Risk Customer
282,151,3,41604.42,41900.0,34108.0,23495.0,High,High,Low,General Valuable Customer
284,367,2,53621.04000000001,29116.0,22924.0,27870.0,High,Low,High,Key Potential Customer
285,966,1,36876.3,10751.0,1.0,21504.0,Low,Low,Low,Lost
288,224,3,115645.86,36581.0,34108.0,41384.0,High,High,High,Key Valuable Customer
290,794,2,97240.68,15582.0,22924.0,38599.0,Low,Low,High,Key At Risk Customer
291,195,1,5782.56,38866.0,1.0,3391.0,High,Low,Low,General Potential Customer
292,1389,1,35547.54,937.0,1.0,20920.0,Low,Low,Low,Lost
294,202,2,184701.08000000002,38336.0,22924.0,46871.0,High,Low,High,Key Potential Customer
302,309,1,94165.2,30700.0,1.0,38068.0,High,Low,High,Key Potential Customer
304,946,1,18396.84,11461.0,1.0,12233.0,Low,Low,Low,Lost
306,679,1,12817.01,17475.0,1.0,8815.0,Low,Low,Low,Lost
317,146,1,50044.2,42198.0,1.0,26625.0,High,Low,High,Key Potential Customer
325,487,3,97024.66,25960.0,34108.0,38567.0,High,High,High,Key Valuable Customer
326,362,3,54440.92,29319.0,34108.0,28101.0,High,High,High,Key Valuable Customer
327,214,6,200298.65,37445.0,46492.0,47505.0,High,High,High,Key Valuable Customer
332,10,6,313346.98,49428.0,46492.0,49599.0,High,High,High,Key Valuable Customer
334,579,1,30019.38,21943.0,1.0,18350.0,Low,Low,Low,Lost
349,365,1,3330.84,29235.0,1.0,1396.0,High,Low,Low,General Potential Customer
350,797,1,28494.9,15515.0,1.0,17654.0,Low,Low,Low,Lost
361,34,1,8022.72,48189.0,1.0,5148.0,High,Low,Low,General Potential Customer
376,611,1,10415.01,20382.0,1.0,7036.0,Low,Low,Low,Lost
378,67,1,23802.04,46709.0,1.0,15157.0,High,Low,Low,General Potential Customer
379,1389,1,9742.85,937.0,1.0,6521.0,Low,Low,Low,Lost
382,601,1,17931.6,20800.0,1.0,11981.0,Low,Low,Low,Lost
387,330,1,40552.04,30048.0,1.0,23088.0,High,Low,Low,General Potential Customer
388,1287,2,104446.94,3800.0,22924.0,39804.0,Low,Low,High,Key At Risk Customer
390,149,3,81730.85,42071.0,34108.0,35526.0,High,High,High,Key Valuable Customer
392,1322,1,12400.6,2698.0,1.0,8518.0,Low,Low,Low,Lost
394,206,1,25084.76,38095.0,1.0,15878.0,High,Low,Low,General Potential Customer
395,57,2,196847.02,47239.0,22924.0,47369.0,High,Low,High,Key Potential Customer
402,63,2,34140.92,46945.0,22924.0,20287.0,High,Low,Low,General Potential Customer
406,1012,1,34012.92,8928.0,1.0,20232.0,Low,Low,Low,Lost
414,553,2,77095.83,23143.0,22924.0,34421.0,Low,Low,High,Key At Risk Customer
415,191,3,161395.06,39148.0,34108.0,45565.0,High,High,High,Key Valuable Customer
416,1249,1,15715.74,4852.0,1.0,10649.0,Low,Low,Low,Lost
422,258,1,40447.44,34219.0,1.0,23053.0,High,Low,Low,General Potential Customer
424,1009,1,1465.24,9075.0,1.0,320.0,Low,Low,Low,Lost
429,831,1,21485.27,14864.0,1.0,13922.0,Low,Low,Low,Lost
431,302,1,17426.96,31080.0,1.0,11668.0,High,Low,Low,General Potential Customer
432,298,1,13081.32,31209.0,1.0,9025.0,High,Low,Low,General Potential Customer
436,270,3,46924.71,33431.0,34108.0,25473.0,High,High,High,Key Valuable Customer
437,62,1,28159.5,47023.0,1.0,17483.0,High,Low,Low,General Potential Customer
446,67,4,113290.46,46709.0,40491.0,41060.0,High,High,High,Key Valuable Customer
447,1282,1,23124.2,3980.0,1.0,14819.0,Low,Low,Low,Lost
448,869,1,62713.88,13827.0,1.0,30680.0,Low,Low,High,Key At Risk Customer
450,678,2,49976.45,17499.0,22924.0,26590.0,Low,Low,High,Key At Risk Customer
453,835,2,33388.65,14782.0,22924.0,19935.0,Low,Low,Low,Lost
454,552,1,13652.54,23200.0,1.0,9419.0,Low,Low,Low,Lost
456,260,3,154039.28999999998,34075.0,34108.0,45058.0,High,High,High,Key Valuable Customer
457,206,3,47861.380000000005,38095.0,34108.0,25804.0,High,High,High,Key Valuable Customer
458,613,3,58078.89,20216.0,34108.0,29293.0,Low,High,High,Key Loyal Customer
459,1122,2,43426.6,7187.0,22924.0,24182.0,Low,Low,Low,Lost
460,257,3,39988.17,34277.0,34108.0,22853.0,High,High,Low,General Valuable Customer
461,609,2,61291.05,20532.0,22924.0,30294.0,Low,Low,High,Key At Risk Customer
463,991,1,60148.44,9821.0,1.0,29938.0,Low,Low,High,Key At Risk Customer
465,368,1,35349.92,29041.0,1.0,20826.0,High,Low,Low,General Potential Customer
467,630,1,4575.37,19469.0,1.0,2396.0,Low,Low,Low,Lost
469,63,1,8766.78,46945.0,1.0,5728.0,High,Low,Low,General Potential Customer
474,396,3,67424.67,28304.0,34108.0,32004.0,High,High,High,Key Valuable Customer
477,246,6,109502.12,35123.0,46492.0,40528.0,High,High,High,Key Valuable Customer
478,186,3,33570.76,39549.0,34108.0,20013.0,High,High,Low,General Valuable Customer
480,286,3,107713.86,31862.0,34108.0,40274.0,High,High,High,Key Valuable Customer
481,571,5,42454.33,22324.0,44141.0,23816.0,Low,High,Low,General Loyal Customer
482,593,5,121188.89,21180.0,44141.0,42072.0,Low,High,High,Key Loyal Customer
483,236,6,211953.39,35716.0,46492.0,47909.0,High,High,High,Key Valuable Customer
484,246,4,173839.66999999998,35123.0,40491.0,46333.0,High,High,High,Key Valuable Customer
488,555,2,42959.8,23058.0,22924.0,23997.0,Low,Low,Low,Lost
489,62,1,22392.74,47023.0,1.0,14420.0,High,Low,Low,General Potential Customer
491,276,2,64829.990000000005,32774.0,22924.0,31291.0,High,Low,High,Key Potential Customer
492,988,2,76245.71,9929.0,22924.0,34204.0,Low,Low,High,Key At Risk Customer
494,958,1,10092.42,10993.0,1.0,6771.0,Low,Low,Low,Lost
495,310,3,85371.23999999999,30668.0,34108.0,36307.0,High,High,High,Key Valuable Customer
506,1327,1,58519.08,2569.0,1.0,29427.0,Low,Low,High,Key At Risk Customer
508,259,1,37737.28,34153.0,1.0,21863.0,High,Low,Low,General Potential Customer
511,1221,2,30050.97,5550.0,22924.0,18363.0,Low,Low,Low,Lost
515,434,1,6686.25,27428.0,1.0,4151.0,High,Low,Low,General Potential Customer
517,535,2,68382.23999999999,23952.0,22924.0,32278.0,Low,Low,High,Key At Risk Customer
519,574,2,117320.64,22222.0,22924.0,41595.0,Low,Low,High,Key At Risk Customer
523,521,2,11060.97,24475.0,22924.0,7507.0,Low,Low,Low,Lost
525,542,1,16747.11,23704.0,1.0,11260.0,Low,Low,Low,Lost
526,1331,1,47898.76,2495.0,1.0,25821.0,Low,Low,High,Key At Risk Customer
528,273,3,54275.05,33231.0,34108.0,28056.0,High,High,High,Key Valuable Customer
529,375,2,13871.23,28812.0,22924.0,9532.0,High,Low,Low,General Potential Customer
530,94,7,184714.73,45513.0,47928.0,46873.0,High,High,High,Key Valuable Customer
531,1320,1,25346.0,2768.0,1.0,16041.0,Low,Low,Low,Lost
532,31,1,1737.45,48376.0,1.0,451.0,High,Low,Low,General Potential Customer
533,738,1,2583.26,16552.0,1.0,937.0,Low,Low,Low,Lost
535,1281,1,29697.91,4037.0,1.0,18185.0,Low,Low,Low,Lost
536,354,2,47628.2,29450.0,22924.0,25710.0,High,Low,High,Key Potential Customer
538,880,1,8264.56,13550.0,1.0,5333.0,Low,Low,Low,Lost
539,695,3,26450.2,17228.0,34108.0,16619.0,Low,High,Low,General Loyal Customer
540,975,2,22982.43,10499.0,22924.0,14744.0,Low,Low,Low,Lost
544,244,2,57694.68,35297.0,22924.0,29158.0,High,Low,High,Key Potential Customer
546,535,1,61567.99,23952.0,1.0,30374.0,Low,Low,High,Key At Risk Customer
553,214,1,11700.04,37445.0,1.0,8014.0,High,Low,Low,General Potential Customer
562,121,2,51233.6,43979.0,22924.0,27054.0,High,Low,High,Key Potential Customer
563,547,1,41931.98,23569.0,1.0,23616.0,Low,Low,Low,Lost
564,1229,1,12821.52,5309.0,1.0,8818.0,Low,Low,Low,Lost
572,212,1,31314.72,37738.0,1.0,18983.0,High,Low,Low,General Potential Customer
575,556,1,24442.95,23006.0,1.0,15483.0,Low,Low,Low,Lost
578,972,1,19357.12,10628.0,1.0,12757.0,Low,Low,Low,Lost
580,968,1,24867.15,10703.0,1.0,15743.0,Low,Low,Low,Lost
588,129,2,98253.3,43152.0,22924.0,38766.0,High,Low,High,Key Potential Customer
589,1269,1,515.1,4344.0,1.0,10.0,Low,Low,Low,Lost
601,980,3,59218.24,10204.0,34108.0,29637.0,Low,High,High,Key Loyal Customer
602,154,4,67524.14,41638.0,40491.0,32032.0,High,High,High,Key Valuable Customer
603,242,3,185711.16999999998,35445.0,34108.0,46934.0,High,High,High,Key Valuable Customer
604,155,2,27830.760000000002,41590.0,22924.0,17320.0,High,Low,Low,General Potential Customer
605,277,7,219985.41999999998,32572.0,47928.0,48134.0,High,High,High,Key Valuable Customer
616,1461,1,15275.48,1.0,1.0,10384.0,Low,Low,Low,Lost
618,552,1,14116.59,23200.0,1.0,9679.0,Low,Low,Low,Lost
620,991,3,18917.48,9821.0,34108.0,12534.0,Low,High,Low,General Loyal Customer
623,1188,1,15242.94,6267.0,1.0,10361.0,Low,Low,Low,Lost
635,503,1,19417.44,25260.0,1.0,12784.0,High,Low,Low,General Potential Customer
636,172,2,20200.09,40483.0,22924.0,13210.0,High,Low,Low,General Potential Customer
637,584,1,17048.64,21582.0,1.0,11441.0,Low,Low,Low,Lost
639,436,1,3903.37,27378.0,1.0,1816.0,High,Low,Low,General Potential Customer
640,148,1,11797.8,42104.0,1.0,8088.0,High,Low,Low,General Potential Customer
642,1390,1,17990.88,909.0,1.0,12020.0,Low,Low,Low,Lost
648,756,1,9968.51,16180.0,1.0,6668.0,Low,Low,Low,Lost
656,1345,1,80120.96,2109.0,1.0,35156.0,Low,Low,High,Key At Risk Customer
658,208,5,174196.24,37976.0,44141.0,46351.0,High,High,High,Key Valuable Customer
659,155,2,17745.47,41590.0,22924.0,11864.0,High,Low,Low,General Potential Customer
660,922,2,102730.14,12198.0,22924.0,39529.0,Low,Low,High,Key At Risk Customer
670,125,1,41881.32,43461.0,1.0,23602.0,High,Low,Low,General Potential Customer
676,1021,1,6872.16,8635.0,1.0,4277.0,Low,Low,Low,Lost
677,1343,1,11909.82,2164.0,1.0,8175.0,Low,Low,Low,Lost
680,1021,2,14762.23,8635.0,22924.0,10061.0,Low,Low,Low,Lost
685,188,1,7788.22,39343.0,1.0,4952.0,High,Low,Low,General Potential Customer
701,571,1,14852.32,22324.0,1.0,10121.0,Low,Low,Low,Lost
709,896,1,38654.67,13027.0,1.0,22279.0,Low,Low,Low,Lost
710,1002,2,20607.83,9485.0,22924.0,13473.0,Low,Low,Low,Lost
714,612,1,98249.46,20294.0,1.0,38763.0,Low,Low,High,Key At Risk Customer
715,984,1,23820.24,10062.0,1.0,15167.0,Low,Low,Low,Lost
717,962,3,37580.28,10845.0,34108.0,21796.0,Low,High,Low,General Loyal Customer
737,908,1,52372.45,12706.0,1.0,27459.0,Low,Low,High,Key At Risk Customer
743,573,2,25484.57,22256.0,22924.0,16120.0,Low,Low,Low,Lost
751,50,2,70196.84,47489.0,22924.0,32729.0,High,Low,High,Key Potential Customer
754,1307,1,11985.54,3300.0,1.0,8218.0,Low,Low,Low,Lost
764,379,1,34855.04,28694.0,1.0,20581.0,High,Low,Low,General Potential Customer
767,677,1,6218.94,17529.0,1.0,3771.0,Low,Low,Low,Lost
774,1393,1,7461.21,867.0,1.0,4718.0,Low,Low,Low,Lost
775,263,1,33635.92,33817.0,1.0,20043.0,High,Low,Low,General Potential Customer
776,145,1,8901.87,42236.0,1.0,5865.0,High,Low,Low,General Potential Customer
779,660,1,51488.76,17986.0,1.0,27152.0,Low,Low,High,Key At Risk Customer
780,1341,1,7527.54,2270.0,1.0,4764.0,Low,Low,Low,Lost
783,136,1,16854.84,42726.0,1.0,11336.0,High,Low,Low,General Potential Customer
788,395,1,8359.04,28332.0,1.0,5402.0,High,Low,Low,General Potential Customer
789,187,5,86207.7,39426.0,44141.0,36460.0,High,High,High,Key Valuable Customer
790,639,3,31027.57,19077.0,34108.0,18845.0,Low,High,Low,General Loyal Customer
797,430,2,46484.869999999995,27520.0,22924.0,25312.0,High,Low,High,Key Potential Customer
799,1406,1,7909.05,684.0,1.0,5071.0,Low,Low,Low,Lost
802,853,1,98046.72,14337.0,1.0,38736.0,Low,Low,High,Key At Risk Customer
805,187,2,129458.91,39426.0,22924.0,42951.0,High,Low,High,Key Potential Customer
807,1058,1,90675.84,8064.0,1.0,37406.0,Low,Low,High,Key At Risk Customer
811,460,1,3097.65,26754.0,1.0,1219.0,High,Low,Low,General Potential Customer
812,1272,1,5043.2,4267.0,1.0,2787.0,Low,Low,Low,Lost
813,1269,1,2528.27,4344.0,1.0,904.0,Low,Low,Low,Lost
814,461,1,3214.49,26719.0,1.0,1304.0,High,Low,Low,General Potential Customer
823,235,2,62845.54,35785.0,22924.0,30735.0,High,Low,High,Key Potential Customer
827,302,1,20791.92,31080.0,1.0,13572.0,High,Low,Low,General Potential Customer
834,280,2,94506.83,32309.0,22924.0,38141.0,High,Low,High,Key Potential Customer
842,1404,1,74698.92,739.0,1.0,33815.0,Low,Low,High,Key At Risk Customer
847,221,5,99809.76,36788.0,44141.0,39033.0,High,High,High,Key Valuable Customer
848,201,3,55958.729999999996,38418.0,34108.0,28578.0,High,High,High,Key Valuable Customer
849,223,5,105609.98999999999,36657.0,44141.0,39977.0,High,High,High,Key Valuable Customer
850,1302,1,11668.53,3400.0,1.0,7983.0,Low,Low,Low,Lost
869,1318,1,63869.28,2834.0,1.0,31013.0,Low,Low,High,Key At Risk Customer
871,835,1,37193.47,14782.0,1.0,21632.0,Low,Low,Low,Lost
873,869,1,28869.4,13827.0,1.0,17795.0,Low,Low,Low,Lost
874,1244,1,18718.07,4992.0,1.0,12423.0,Low,Low,Low,Lost
876,1203,1,48514.9,5935.0,1.0,26063.0,Low,Low,High,Key At Risk Customer
879,802,2,44434.2,15440.0,22924.0,24552.0,Low,Low,Low,Lost
880,221,2,125710.0,36788.0,22924.0,42561.0,High,Low,High,Key Potential Customer
892,612,1,48054.64,20294.0,1.0,25898.0,Low,Low,High,Key At Risk Customer
897,1230,1,700.12,5282.0,1.0,34.0,Low,Low,Low,Lost
898,159,2,96652.32,41314.0,22924.0,38517.0,High,Low,High,Key Potential Customer
906,1378,2,11965.01,1186.0,22924.0,8208.0,Low,Low,Low,Lost
907,1376,2,9666.62,1243.0,22924.0,6466.0,Low,Low,Low,Lost
911,1393,1,21497.4,867.0,1.0,13929.0,Low,Low,Low,Lost
913,876,1,60565.76,13645.0,1.0,30061.0,Low,Low,High,Key At Risk Customer
923,288,1,101072.96,31748.0,1.0,39255.0,High,Low,High,Key Potential Customer
927,517,1,6206.22,24775.0,1.0,3761.0,Low,Low,Low,Lost
931,703,2,14030.38,17123.0,22924.0,9635.0,Low,Low,Low,Lost
944,609,1,27669.4,20532.0,1.0,17240.0,Low,Low,Low,Lost
945,551,1,27095.56,23267.0,1.0,16926.0,Low,Low,Low,Lost
946,518,1,8603.8,24708.0,1.0,5584.0,Low,Low,Low,Lost
948,1021,2,80542.84,8635.0,22924.0,35269.0,Low,Low,High,Key At Risk Customer
966,367,3,60699.560000000005,29116.0,34108.0,30102.0,High,High,High,Key Valuable Customer
969,20,4,63241.27,48763.0,40491.0,30837.0,High,High,High,Key Valuable Customer
971,959,2,29553.79,10958.0,22924.0,18114.0,Low,Low,Low,Lost
972,227,5,173755.79,36369.0,44141.0,46324.0,High,High,High,Key Valuable Customer
975,143,6,140976.99,42336.0,46492.0,44042.0,High,High,High,Key Valuable Customer
977,1209,1,6927.55,5832.0,1.0,4319.0,Low,Low,Low,Lost
979,15,1,2507.77,49065.0,1.0,892.0,High,Low,Low,General Potential Customer
980,1097,1,1913.48,7670.0,1.0,526.0,Low,Low,Low,Lost
985,734,1,52882.69,16644.0,1.0,27618.0,Low,Low,High,Key At Risk Customer
993,650,1,24347.24,18390.0,1.0,15443.0,Low,Low,Low,Lost
994,628,2,12646.289999999999,19555.0,22924.0,8693.0,Low,Low,Low,Lost
1001,33,1,4858.09,48261.0,1.0,2636.0,High,Low,Low,General Potential Customer
1012,937,1,20048.83,11791.0,1.0,13135.0,Low,Low,Low,Lost
1016,941,1,42961.62,11713.0,1.0,24000.0,Low,Low,Low,Lost
1019,922,1,65169.73,12198.0,1.0,31406.0,Low,Low,High,Key At Risk Customer
1022,151,1,16179.04,41900.0,1.0,10944.0,High,Low,Low,General Potential Customer
1025,612,2,108640.93,20294.0,22924.0,40405.0,Low,Low,High,Key At Risk Customer
1029,657,2,39553.979999999996,18107.0,22924.0,22657.0,Low,Low,Low,Lost
1030,1294,1,6447.81,3599.0,1.0,3971.0,Low,Low,Low,Lost
1032,640,1,23258.31,18971.0,1.0,14883.0,Low,Low,Low,Lost
1033,279,1,6789.45,32398.0,1.0,4231.0,High,Low,Low,General Potential Customer
1041,190,5,118306.19,39222.0,44141.0,41717.0,High,High,High,Key Valuable Customer
1042,277,3,13819.55,32572.0,34108.0,9502.0,High,High,Low,General Valuable Customer
1043,993,4,135346.49,9753.0,40491.0,43500.0,Low,High,High,Key Loyal Customer
1044,540,4,97267.39,23780.0,40491.0,38602.0,Low,High,High,Key Loyal Customer
1046,167,1,5497.38,40826.0,1.0,3137.0,High,Low,Low,General Potential Customer
1053,630,2,58385.479999999996,19469.0,22924.0,29375.0,Low,Low,High,Key At Risk Customer
1063,164,3,151899.22,41020.0,34108.0,44893.0,High,High,High,Key Valuable Customer
1065,537,1,9397.23,23881.0,1.0,6261.0,Low,Low,Low,Lost
1072,991,1,5250.54,9821.0,1.0,2965.0,Low,Low,Low,Lost
1073,993,1,869.7,9753.0,1.0,89.0,Low,Low,Low,Lost
1077,1296,1,14247.69,3543.0,1.0,9761.0,Low,Low,Low,Lost
1079,1293,1,23400.35,3633.0,1.0,14949.0,Low,Low,Low,Lost
1086,514,3,88502.83,24926.0,34108.0,36950.0,Low,High,High,Key Loyal Customer
1087,152,10,259437.85,41802.0,49665.0,48997.0,High,High,High,Key Valuable Customer
1088,185,3,56493.18,39704.0,34108.0,28754.0,High,High,High,Key Valuable Customer
1089,150,6,91740.42,41984.0,46492.0,37627.0,High,High,High,Key Valuable Customer
1090,159,4,49673.850000000006,41314.0,40491.0,26498.0,High,High,High,Key Valuable Customer
